filename,width,height,focal_35mm,principal_u,principal_v,distortion_model,distortion_coeffs,R0,R1,R2,R3,R4,R5,R6,R7,R8,X,Y,Z
Original_low-1.jpg,5464,3640,26.4103114930183,-7.66342013627341e-17,-3.8317100681367e-17,perspective,0 0 0 0 0 0,-0.688909067004452,-0.724674879220753,-0.0158308820171804,-0.486343706301928,0.478314458399699,-0.731221634134485,0.537470089158047,-0.496045963910795,-0.681956233894999,-8.8326856414471,9.07605228117037,22.7486506724561
Original_low-10.jpg,5464,3640,26.4988073912834,0,0,perspective,0 0 0 0 0 0,0.93185644157544,0.362520604301688,-0.0149125367089944,0.250179518323749,-0.671765906574021,-0.697237961800762,-0.262780860995725,0.64599487476413,-0.716684617438397,2.88998699156745,-8.4423556065886,22.5875624936586
Original_low-11.jpg,5464,3640,26.4972495203212,0,0,perspective,0 0 0 0 0 0,0.982726135967327,0.184514431511204,-0.0142746716538333,0.12232355936127,-0.705502001969632,-0.698071537911431,-0.138875082401118,0.68426701643506,-0.715885718328802,1.29096277915872,-8.68988854804612,22.506706614269
Original_low-12.jpg,5464,3640,26.4723928025842,0,3.84466816779222e-17,perspective,0 0 0 0 0 0,0.776304100441499,0.630139626714347,-0.0166130816533077,0.443912058858291,-0.565211644649679,-0.695325737156764,-0.447542207660807,0.532409473616603,-0.71850269642179,5.18249273350475,-7.01637789159818,22.5013993252642
Original_low-13.jpg,5464,3640,26.3890528575262,0,-3.83688281206939e-17,perspective,0 0 0 0 0 0,0.27934930965659,0.960076802588275,-0.0147138141302889,0.682816855755207,-0.209403201740411,-0.699936740425474,-0.675074147550444,0.18548000494053,-0.714053263472902,9.49612698580866,-1.3904229208746,22.5720797711254
Original_low-14.jpg,5464,3640,26.3536977491961,0,0,perspective,0 0 0 0 0 0,0.161868098686439,0.986708659385138,-0.0143087428525845,0.70287797805009,-0.125459439632588,-0.700158894094258,-0.692648010608458,0.103276088720774,-0.713843668388733,9.67473653870719,-0.493605485497886,22.5139867327933
Original_low-15.jpg,5464,3640,26.381974248927,0,3.83494139725472e-17,perspective,0 0 0 0 0 0,0.340946607811713,0.939977519469241,-0.0140596413232963,0.667557414110079,-0.25261109892574,-0.700396124750983,-0.661908233434478,0.229412065053222,-0.713615859492812,9.16176776953023,-2.33797901061342,22.5758851746505
Original_low-16.jpg,5464,3640,26.4316044074174,0,0,perspective,0 0 0 0 0 0,0.60363463957715,0.797061849566909,-0.0178221734797752,0.562413882203661,-0.44156127209794,-0.699081016826988,-0.565080389862514,0.411966079851519,-0.714820328505424,8.08468034982856,-4.45848271233891,22.607288421501
Original_low-17.jpg,5464,3640,26.4037747066889,-7.67894884982209e-17,3.83947442491104e-17,perspective,0 0 0 0 0 0,0.458692637311403,0.888443870160445,-0.0163876188215468,0.629636377267213,-0.337976396957631,-0.699521255946778,-0.627024000256872,0.310547008798778,-0.714423864682586,8.75589907272042,-3.28353216826049,22.5528245206604
Original_low-18.jpg,5464,3640,26.2692307692308,-7.63896104294413e-17,-3.81948052147207e-17,perspective,0 0 0 0 0 0,-0.433861622612341,0.900868642070618,-0.0141344316485466,0.577322300075547,0.265928041827041,-0.771998211400464,-0.691710238654646,-0.34310051924163,-0.635467528231346,9.92796295390802,5.80862992139085,22.4582114276004
